location_id,neighbourhood_group,neighbourhood,latitude,longitude
1,Brooklyn,Kensington,40.64749,-73.97237
2,Manhattan,Midtown,40.75362,-73.98377
3,Manhattan,Harlem,40.80902,-73.9419
4,Brooklyn,Clinton Hill,40.68514,-73.95976
5,Manhattan,East Harlem,40.79851,-73.94399
6,Manhattan,Murray Hill,40.74767,-73.975
7,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
8,Manhattan,Hell's Kitchen,40.76489,-73.98493
9,Manhattan,Upper West Side,40.80178,-73.96723
10,Manhattan,Chinatown,40.71344,-73.99037
11,Manhattan,Upper West Side,40.80316,-73.96545
12,Manhattan,Hell's Kitchen,40.76076,-73.98867
13,Brooklyn,South Slope,40.66829,-73.98779
14,Manhattan,Upper West Side,40.79826,-73.96113
15,Manhattan,West Village,40.7353,-74.00525
16,Brooklyn,Williamsburg,40.70837,-73.95352
17,Brooklyn,Fort Greene,40.69169,-73.97185
18,Manhattan,Chelsea,40.74192,-73.99501
19,Brooklyn,Crown Heights,40.67592,-73.94694
20,Manhattan,East Harlem,40.79685,-73.94872
21,Brooklyn,Williamsburg,40.71842,-73.95718
22,Brooklyn,Park Slope,40.68069,-73.97706
23,Brooklyn,Park Slope,40.67989,-73.97798
24,Brooklyn,Park Slope,40.68001,-73.97865
25,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028
26,Brooklyn,Windsor Terrace,40.65599,-73.97519
27,Manhattan,Inwood,40.86754,-73.92639
28,Manhattan,Hell's Kitchen,40.76715,-73.98533
29,Manhattan,Inwood,40.86482,-73.92106
30,Manhattan,East Village,40.7292,-73.98542
31,Manhattan,Harlem,40.82245,-73.95104
32,Manhattan,Harlem,40.81305,-73.95466
33,Brooklyn,Greenpoint,40.72219,-73.93762
34,Manhattan,Harlem,40.8213,-73.95318
35,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473
36,Brooklyn,South Slope,40.66869,-73.9878
37,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312
38,Brooklyn,Bushwick,40.70186,-73.92745
39,Brooklyn,Flatbush,40.63702,-73.96327
40,Manhattan,Lower East Side,40.71401,-73.98917
41,Manhattan,East Village,40.7229,-73.98199
42,Brooklyn,South Slope,40.66278,-73.97966
43,Brooklyn,Fort Greene,40.69673,-73.97584
44,Manhattan,Upper West Side,40.79009,-73.97927
