listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
2539,2787,1,1,149,1,9,0.21,365
2595,2845,2,2,225,1,45,0.38,355
3647,4632,3,1,150,3,0,0,365
3831,4869,4,2,89,1,270,4.64,194
5022,7192,5,2,80,10,9,0.1,0
5099,7322,6,2,200,3,74,0.59,129
5121,7356,7,1,60,45,49,0.4,0
5178,8967,8,1,79,2,430,3.47,220
5203,7490,9,1,79,2,118,0.99,0
5238,7549,10,2,150,1,160,1.33,188
5295,7702,11,2,135,5,53,0.43,6
5441,7989,12,1,85,2,188,1.5,39
5803,9744,13,1,89,4,167,1.34,314
6021,11528,14,1,85,2,113,0.91,333
6090,11975,15,2,120,90,27,0.22,0
6848,15991,16,2,140,2,148,1.2,46
7097,17571,17,2,215,2,198,1.72,321
7322,18946,18,1,140,1,260,2.12,12
7726,20950,19,2,99,3,53,4.44,21
7750,17985,20,2,190,7,0,0,249
7801,21207,21,2,299,3,9,0.07,0
8024,22486,22,1,130,2,130,1.09,347
8025,22486,23,1,80,1,39,0.37,364
8110,22486,24,1,110,2,71,0.61,304
8490,25183,25,2,120,2,88,0.73,233
8505,25326,26,1,60,1,19,1.37,85
8700,26394,27,1,80,4,0,0,0
9357,30193,28,2,150,10,58,0.49,75
9518,31374,29,1,44,3,108,1.11,311
9657,21904,30,2,180,14,29,0.24,67
9668,32294,31,1,50,3,242,2.04,355
9704,32045,32,1,52,2,88,1.42,255
9782,32169,33,1,55,4,197,1.65,284
9783,32294,34,1,50,3,273,2.37,359
10452,35935,35,1,70,1,74,0.66,269
10962,9744,36,1,89,4,168,1.41,340
11452,7355,37,1,35,60,0,0,365
11708,44145,38,2,85,2,231,1.96,22
11943,45445,39,1,150,1,0,0,365
12048,7549,40,3,40,1,214,1.81,188
12192,46978,41,1,68,2,245,2.08,96
12299,47610,42,2,120,3,15,0.39,345
12303,47618,43,1,120,7,25,0.23,311
12318,16800,44,1,135,4,81,0.69,273
12343,47727,45,2,150,7,97,0.84,309
12627,49670,46,2,150,29,11,0.49,95
12937,50124,47,1,130,3,248,2.25,215
12940,50148,48,2,110,7,61,0.52,265
13050,50846,49,2,115,3,11,0.1,0
13394,52335,50,1,80,3,135,1.16,192
13808,54275,51,1,80,1,112,1.01,251
14287,56094,52,2,151,2,73,0.63,302
14290,56104,53,2,228,3,82,0.7,140
14314,56246,54,2,144,2,328,2.82,234
14322,56284,55,2,200,7,19,0.22,257
14377,56512,56,2,150,30,105,0.9,30
14991,59023,57,1,110,5,19,0.17,301
15220,59734,58,1,69,2,289,2.49,294
15338,32169,59,1,49,4,138,1.19,320
15341,60049,60,2,180,30,21,0.3,154
15385,60252,61,1,80,2,42,0.38,263
15396,60278,62,2,375,180,5,0.12,180
15711,61491,63,2,250,2,66,0.57,231
16326,63588,64,2,200,30,143,1.33,297
16338,63613,65,1,55,7,27,0.23,292
16421,63924,66,1,52,30,191,1.65,191
16458,64056,67,2,225,3,4,0.16,0
16580,64442,68,1,80,1,338,4.72,72
16595,64522,69,2,275,1,148,1.4,362
16821,4396,70,1,99,1,106,1.26,336
16974,65837,71,2,225,4,190,1.64,215
17037,66035,72,2,230,9,49,0.43,116
17092,66243,73,1,51,7,23,0.43,88
17693,68428,74,1,65,2,49,1.6,336
17747,68599,75,1,105,2,105,0.92,304
18127,69829,76,2,190,5,21,0.2,224
18152,69942,77,1,200,1,142,1.5,322
18198,70091,78,1,70,30,25,0.22,324
18590,71512,79,1,95,3,143,1.28,132
18728,71876,80,1,150,3,167,1.65,295
18764,72014,81,1,145,3,61,0.54,238
19159,73051,82,2,110,31,54,0.49,209
19169,73128,83,2,285,5,70,0.62,328
19282,73469,84,2,130,6,16,0.15,38
19319,44263,85,1,94,30,94,0.84,188
19601,74303,86,2,800,1,25,0.24,7
19812,74857,87,2,105,3,61,0.53,272
20299,62407,88,1,60,3,194,1.73,26
20300,76627,89,1,50,1,2,0.05,0
20611,72014,90,1,85,3,174,1.54,288
20724,961342,91,1,65,4,24,0.28,317
20734,78460,92,2,131,4,166,3.4,207
20755,51038,93,1,98,7,16,0.2,185
20853,79070,94,2,250,7,21,0.3,158
20913,79402,95,2,100,5,168,1.57,0
21293,44145,96,2,105,3,118,1.05,9
21456,42032,97,2,140,3,81,0.71,198
21644,82685,98,1,89,1,1,0.11,365
21794,83257,99,1,98,30,30,0.27,364
22911,87773,100,2,125,7,139,1.23,311
